Alignment_name	Locus_type
SISRS_contig-5638000000.fasta	other
SISRS_contig-14671000002.fasta	other
SISRS_contig-319000011.fasta	other
SISRS_contig-15412000016.fasta	other
SISRS_contig-170000013.fasta	other
SISRS_contig-1789000015.fasta	other
SISRS_contig-1769000016.fasta	other
SISRS_contig-13719000002.fasta	other
SISRS_contig-15564000001.fasta	other
SISRS_contig-7735000008.fasta	other
SISRS_contig-12013000005.fasta	other
SISRS_contig-214000005.fasta	other
SISRS_contig-10391000008.fasta	other
SISRS_contig-12227000008.fasta	other
SISRS_contig-1039000015.fasta	other
SISRS_contig-1401000012.fasta	other
SISRS_contig-71000008.fasta	other
SISRS_contig-15801000008.fasta	other
SISRS_contig-12957000003.fasta	other
SISRS_contig-17159000016.fasta	other
SISRS_contig-8450000002.fasta	other
SISRS_contig-12842000005.fasta	other
SISRS_contig-14060000010.fasta	other
SISRS_contig-14614000014.fasta	other
SISRS_contig-11713000011.fasta	other
SISRS_contig-1296000008.fasta	other
SISRS_contig-3060000009.fasta	other
SISRS_contig-3923000001.fasta	other
SISRS_contig-12468000010.fasta	other
SISRS_contig-7780000004.fasta	other
SISRS_contig-6745000002.fasta	other
SISRS_contig-7626000011.fasta	other
SISRS_contig-7708000000.fasta	other
SISRS_contig-7404000016.fasta	other
SISRS_contig-11266000005.fasta	other
SISRS_contig-15118000019.fasta	other
SISRS_contig-9153000017.fasta	other
SISRS_contig-6516000003.fasta	other
SISRS_contig-2717000001.fasta	other
SISRS_contig-10557000015.fasta	other
SISRS_contig-1475000017.fasta	other
SISRS_contig-17839000011.fasta	other
SISRS_contig-17429000010.fasta	other
SISRS_contig-7679000007.fasta	other
SISRS_contig-10565000014.fasta	other
SISRS_contig-11738000019.fasta	other
SISRS_contig-7050000013.fasta	other
SISRS_contig-13088000002.fasta	other
SISRS_contig-12685000013.fasta	other
SISRS_contig-5791000003.fasta	other
SISRS_contig-4660000003.fasta	other
SISRS_contig-14559000004.fasta	other
SISRS_contig-16118000019.fasta	other
SISRS_contig-12645000013.fasta	other
SISRS_contig-13709000018.fasta	other
SISRS_contig-3130000013.fasta	other
SISRS_contig-15285000007.fasta	other
SISRS_contig-5837000005.fasta	other
SISRS_contig-11058000016.fasta	other
SISRS_contig-6906000006.fasta	other
SISRS_contig-422000018.fasta	other
SISRS_contig-11121000000.fasta	other
SISRS_contig-428000002.fasta	other
SISRS_contig-4564000016.fasta	other
SISRS_contig-12046000004.fasta	other
SISRS_contig-13597000013.fasta	other
SISRS_contig-3873000016.fasta	other
SISRS_contig-4421000007.fasta	other
SISRS_contig-11504000010.fasta	other
SISRS_contig-9820000016.fasta	other
SISRS_contig-5766000012.fasta	other
SISRS_contig-15100000015.fasta	other
SISRS_contig-6092000018.fasta	other
SISRS_contig-13281000006.fasta	other
SISRS_contig-9256000004.fasta	other
SISRS_contig-6969000002.fasta	other
SISRS_contig-11232000017.fasta	other
SISRS_contig-12705000011.fasta	other
SISRS_contig-15067000004.fasta	other
SISRS_contig-14604000012.fasta	other
SISRS_contig-3758000015.fasta	other
SISRS_contig-2302000001.fasta	other
SISRS_contig-4050000016.fasta	other
SISRS_contig-195000015.fasta	other
SISRS_contig-15119000017.fasta	other
SISRS_contig-17215000019.fasta	other
SISRS_contig-5888000001.fasta	other
SISRS_contig-12845000004.fasta	other
SISRS_contig-12981000009.fasta	other
SISRS_contig-458000007.fasta	other
SISRS_contig-13273000019.fasta	other
SISRS_contig-2465000015.fasta	other
SISRS_contig-2591000005.fasta	other
SISRS_contig-9620000014.fasta	other
SISRS_contig-268000009.fasta	other
SISRS_contig-4900000011.fasta	other
SISRS_contig-15120000005.fasta	other
SISRS_contig-14271000005.fasta	other
SISRS_contig-8979000010.fasta	other
SISRS_contig-960000002.fasta	other
SISRS_contig-17123000012.fasta	other
SISRS_contig-9212000009.fasta	other
SISRS_contig-13870000005.fasta	other
SISRS_contig-1279000019.fasta	other
SISRS_contig-9069000005.fasta	other
SISRS_contig-10321000017.fasta	other
SISRS_contig-11285000000.fasta	other
SISRS_contig-981000018.fasta	other
SISRS_contig-1224000011.fasta	other
SISRS_contig-11566000006.fasta	other
SISRS_contig-1710000002.fasta	other
SISRS_contig-10014000013.fasta	other
SISRS_contig-10487000017.fasta	other
SISRS_contig-18138000003.fasta	other
SISRS_contig-641000000.fasta	other
