Alignment_name	Locus_type
SISRS_contig-831000016.fasta	UTR
SISRS_contig-9000000.fasta	UTR
SISRS_contig-2087000005.fasta	UTR
SISRS_contig-2907000017.fasta	UTR
SISRS_contig-7739000002.fasta	UTR
SISRS_contig-435000010.fasta	UTR
SISRS_contig-3483000012.fasta	UTR
SISRS_contig-2244000012.fasta	UTR
SISRS_contig-740000010.fasta	UTR
SISRS_contig-6254000013.fasta	UTR
SISRS_contig-3156000001.fasta	UTR
SISRS_contig-6272000006.fasta	UTR
SISRS_contig-5142000017.fasta	UTR
SISRS_contig-15149000019.fasta	UTR
SISRS_contig-10712000002.fasta	UTR
SISRS_contig-1311000014.fasta	UTR
SISRS_contig-430000008.fasta	UTR
SISRS_contig-9793000005.fasta	UTR
SISRS_contig-10315000013.fasta	UTR
SISRS_contig-5233000010.fasta	UTR
SISRS_contig-15392000016.fasta	UTR
SISRS_contig-13736000019.fasta	UTR
SISRS_contig-13170000016.fasta	UTR
SISRS_contig-17140000001.fasta	UTR
SISRS_contig-4087000015.fasta	UTR
SISRS_contig-7695000007.fasta	UTR
SISRS_contig-2304000007.fasta	UTR
SISRS_contig-16132000007.fasta	UTR
SISRS_contig-6534000019.fasta	UTR
SISRS_contig-17713000009.fasta	UTR
SISRS_contig-1945000002.fasta	UTR
SISRS_contig-5447000002.fasta	UTR
SISRS_contig-10171000012.fasta	UTR
SISRS_contig-13436000001.fasta	UTR
SISRS_contig-3321000005.fasta	UTR
SISRS_contig-6001000009.fasta	UTR
SISRS_contig-6113000012.fasta	UTR
SISRS_contig-2382000004.fasta	UTR
SISRS_contig-4965000019.fasta	UTR
SISRS_contig-13168000018.fasta	UTR
SISRS_contig-15800000002.fasta	UTR
SISRS_contig-13810000007.fasta	UTR
SISRS_contig-6039000001.fasta	UTR
SISRS_contig-4130000007.fasta	UTR
SISRS_contig-3624000017.fasta	UTR
SISRS_contig-14083000000.fasta	UTR
SISRS_contig-10651000005.fasta	UTR
SISRS_contig-3991000018.fasta	UTR
SISRS_contig-1655000006.fasta	UTR
SISRS_contig-2605000011.fasta	UTR
SISRS_contig-14007000017.fasta	UTR
SISRS_contig-11104000013.fasta	UTR
SISRS_contig-11649000003.fasta	UTR
SISRS_contig-14207000002.fasta	UTR
SISRS_contig-17344000003.fasta	UTR
SISRS_contig-4571000009.fasta	UTR
SISRS_contig-17725000003.fasta	UTR
SISRS_contig-3798000007.fasta	UTR
SISRS_contig-9796000018.fasta	UTR
SISRS_contig-8149000010.fasta	UTR
SISRS_contig-11746000014.fasta	UTR
SISRS_contig-8789000004.fasta	UTR
SISRS_contig-10828000019.fasta	UTR
SISRS_contig-7704000014.fasta	UTR
SISRS_contig-3148000016.fasta	UTR
SISRS_contig-1485000011.fasta	UTR
SISRS_contig-13416000011.fasta	UTR
SISRS_contig-82000012.fasta	UTR
SISRS_contig-5845000005.fasta	UTR
SISRS_contig-1319000008.fasta	UTR
SISRS_contig-78000019.fasta	UTR
SISRS_contig-8007000017.fasta	UTR
SISRS_contig-2615000008.fasta	UTR
SISRS_contig-8246000015.fasta	UTR
SISRS_contig-10201000017.fasta	UTR
SISRS_contig-15029000006.fasta	UTR
SISRS_contig-557000019.fasta	UTR
SISRS_contig-5992000004.fasta	UTR
SISRS_contig-12212000000.fasta	UTR
SISRS_contig-10516000013.fasta	UTR
SISRS_contig-5019000018.fasta	UTR
SISRS_contig-8892000014.fasta	UTR
