Alignment_name	Locus_type
SISRS_contig-9948000011.fasta	unannotated
SISRS_contig-2428000003.fasta	unannotated
SISRS_contig-4379000016.fasta	unannotated
SISRS_contig-12701000007.fasta	unannotated
SISRS_contig-5695000004.fasta	unannotated
SISRS_contig-9507000014.fasta	unannotated
SISRS_contig-8770000011.fasta	unannotated
SISRS_contig-3778000016.fasta	unannotated
SISRS_contig-7907000017.fasta	unannotated
SISRS_contig-5013000007.fasta	unannotated
SISRS_contig-11622000006.fasta	unannotated
SISRS_contig-8482000002.fasta	unannotated
SISRS_contig-16343000019.fasta	unannotated
SISRS_contig-4910000015.fasta	unannotated
SISRS_contig-13536000001.fasta	unannotated
SISRS_contig-14090000000.fasta	unannotated
SISRS_contig-13266000000.fasta	unannotated
SISRS_contig-2018000019.fasta	unannotated
SISRS_contig-12635000019.fasta	unannotated
SISRS_contig-7753000005.fasta	unannotated
SISRS_contig-11446000015.fasta	unannotated
SISRS_contig-10913000016.fasta	unannotated
SISRS_contig-8203000011.fasta	unannotated
SISRS_contig-3914000006.fasta	unannotated
SISRS_contig-2201000004.fasta	unannotated
SISRS_contig-14127000005.fasta	unannotated
SISRS_contig-10740000001.fasta	unannotated
SISRS_contig-8085000008.fasta	unannotated
SISRS_contig-12596000013.fasta	unannotated
SISRS_contig-5985000002.fasta	unannotated
SISRS_contig-3861000001.fasta	unannotated
SISRS_contig-9652000005.fasta	unannotated
SISRS_contig-6235000016.fasta	unannotated
SISRS_contig-9468000000.fasta	unannotated
SISRS_contig-9662000014.fasta	unannotated
SISRS_contig-16480000018.fasta	unannotated
SISRS_contig-4945000018.fasta	unannotated
SISRS_contig-5806000003.fasta	unannotated
SISRS_contig-11737000008.fasta	unannotated
SISRS_contig-1698000017.fasta	unannotated
SISRS_contig-6683000014.fasta	unannotated
SISRS_contig-11017000015.fasta	unannotated
SISRS_contig-16320000009.fasta	unannotated
SISRS_contig-10137000016.fasta	unannotated
SISRS_contig-5487000013.fasta	unannotated
SISRS_contig-7647000015.fasta	unannotated
SISRS_contig-17397000018.fasta	unannotated
SISRS_contig-4701000002.fasta	unannotated
SISRS_contig-15374000018.fasta	unannotated
SISRS_contig-3963000008.fasta	unannotated
SISRS_contig-8258000009.fasta	unannotated
SISRS_contig-15871000013.fasta	unannotated
SISRS_contig-7878000011.fasta	unannotated
SISRS_contig-3853000019.fasta	unannotated
SISRS_contig-2735000015.fasta	unannotated
SISRS_contig-6507000005.fasta	unannotated
SISRS_contig-2146000007.fasta	unannotated
SISRS_contig-12737000011.fasta	unannotated
SISRS_contig-9449000004.fasta	unannotated
SISRS_contig-11743000000.fasta	unannotated
SISRS_contig-4093000009.fasta	unannotated
SISRS_contig-13342000017.fasta	unannotated
SISRS_contig-17695000014.fasta	unannotated
SISRS_contig-4195000012.fasta	unannotated
SISRS_contig-9908000010.fasta	unannotated
SISRS_contig-1761000003.fasta	unannotated
SISRS_contig-4169000000.fasta	unannotated
SISRS_contig-8735000012.fasta	unannotated
SISRS_contig-13476000005.fasta	unannotated
SISRS_contig-6032000006.fasta	unannotated
SISRS_contig-9705000007.fasta	unannotated
SISRS_contig-5388000013.fasta	unannotated
SISRS_contig-322000008.fasta	unannotated
SISRS_contig-528000013.fasta	unannotated
SISRS_contig-2535000016.fasta	unannotated
SISRS_contig-12495000019.fasta	unannotated
SISRS_contig-13024000006.fasta	unannotated
SISRS_contig-7897000006.fasta	unannotated
SISRS_contig-10722000008.fasta	unannotated
SISRS_contig-10340000005.fasta	unannotated
SISRS_contig-9667000005.fasta	unannotated
SISRS_contig-2287000010.fasta	unannotated
SISRS_contig-14610000016.fasta	unannotated
SISRS_contig-9202000010.fasta	unannotated
SISRS_contig-12187000016.fasta	unannotated
SISRS_contig-9597000008.fasta	unannotated
SISRS_contig-3927000013.fasta	unannotated
SISRS_contig-10041000006.fasta	unannotated
SISRS_contig-16169000018.fasta	unannotated
SISRS_contig-15510000011.fasta	unannotated
SISRS_contig-5436000009.fasta	unannotated
SISRS_contig-4427000006.fasta	unannotated
SISRS_contig-8374000016.fasta	unannotated
SISRS_contig-8239000013.fasta	unannotated
SISRS_contig-2689000019.fasta	unannotated
SISRS_contig-13327000015.fasta	unannotated
SISRS_contig-3382000009.fasta	unannotated
SISRS_contig-14383000016.fasta	unannotated
SISRS_contig-16643000007.fasta	unannotated
SISRS_contig-11128000014.fasta	unannotated
SISRS_contig-4745000007.fasta	unannotated
SISRS_contig-1876000009.fasta	unannotated
SISRS_contig-76000003.fasta	unannotated
SISRS_contig-17227000002.fasta	unannotated
SISRS_contig-73000011.fasta	unannotated
SISRS_contig-11155000003.fasta	unannotated
SISRS_contig-11575000019.fasta	unannotated
SISRS_contig-7921000002.fasta	unannotated
SISRS_contig-155000000.fasta	unannotated
SISRS_contig-17730000014.fasta	unannotated
SISRS_contig-11446000018.fasta	unannotated
SISRS_contig-13353000007.fasta	unannotated
SISRS_contig-1970000010.fasta	unannotated
SISRS_contig-9447000019.fasta	unannotated
SISRS_contig-15497000000.fasta	unannotated
SISRS_contig-749000000.fasta	unannotated
SISRS_contig-1356000001.fasta	unannotated
SISRS_contig-12290000005.fasta	unannotated
SISRS_contig-15657000008.fasta	unannotated
SISRS_contig-5034000019.fasta	unannotated
SISRS_contig-14408000010.fasta	unannotated
SISRS_contig-4306000000.fasta	unannotated
SISRS_contig-17115000019.fasta	unannotated
SISRS_contig-15685000009.fasta	unannotated
SISRS_contig-9201000000.fasta	unannotated
SISRS_contig-15286000000.fasta	unannotated
SISRS_contig-15504000012.fasta	unannotated
SISRS_contig-8801000004.fasta	unannotated
SISRS_contig-2949000006.fasta	unannotated
SISRS_contig-14983000000.fasta	unannotated
SISRS_contig-843000013.fasta	unannotated
SISRS_contig-6828000013.fasta	unannotated
SISRS_contig-11629000017.fasta	unannotated
SISRS_contig-4883000014.fasta	unannotated
SISRS_contig-8737000007.fasta	unannotated
SISRS_contig-2637000006.fasta	unannotated
SISRS_contig-13341000015.fasta	unannotated
SISRS_contig-16667000010.fasta	unannotated
SISRS_contig-13068000006.fasta	unannotated
SISRS_contig-3842000000.fasta	unannotated
