Alignment_name	Locus_type
SISRS_contig-13487000002.fasta	CDS
SISRS_contig-7111000013.fasta	CDS
SISRS_contig-15617000016.fasta	CDS
SISRS_contig-9704000012.fasta	CDS
SISRS_contig-9920000001.fasta	CDS
SISRS_contig-12873000007.fasta	CDS
SISRS_contig-2217000002.fasta	CDS
SISRS_contig-742000017.fasta	CDS
SISRS_contig-293000019.fasta	CDS
SISRS_contig-9254000011.fasta	CDS
SISRS_contig-13730000017.fasta	CDS
SISRS_contig-4732000002.fasta	CDS
SISRS_contig-11328000004.fasta	CDS
SISRS_contig-14999000003.fasta	CDS
SISRS_contig-15239000003.fasta	CDS
SISRS_contig-11133000010.fasta	CDS
SISRS_contig-8651000010.fasta	CDS
SISRS_contig-14610000012.fasta	CDS
SISRS_contig-9553000005.fasta	CDS
SISRS_contig-5105000013.fasta	CDS
SISRS_contig-11544000000.fasta	CDS
SISRS_contig-11176000001.fasta	CDS
SISRS_contig-13809000001.fasta	CDS
SISRS_contig-5666000014.fasta	CDS
SISRS_contig-2055000009.fasta	CDS
SISRS_contig-5339000003.fasta	CDS
SISRS_contig-16870000011.fasta	CDS
SISRS_contig-185000014.fasta	CDS
SISRS_contig-13213000009.fasta	CDS
SISRS_contig-9190000018.fasta	CDS
SISRS_contig-16879000010.fasta	CDS
SISRS_contig-4974000010.fasta	CDS
SISRS_contig-16535000003.fasta	CDS
SISRS_contig-3942000004.fasta	CDS
SISRS_contig-7526000016.fasta	CDS
SISRS_contig-2041000018.fasta	CDS
SISRS_contig-14277000009.fasta	CDS
SISRS_contig-13852000016.fasta	CDS
SISRS_contig-11557000005.fasta	CDS
SISRS_contig-8749000001.fasta	CDS
SISRS_contig-4131000005.fasta	CDS
SISRS_contig-2733000002.fasta	CDS
SISRS_contig-4539000003.fasta	CDS
SISRS_contig-11267000018.fasta	CDS
SISRS_contig-17627000006.fasta	CDS
SISRS_contig-1441000000.fasta	CDS
SISRS_contig-2059000014.fasta	CDS
SISRS_contig-9129000008.fasta	CDS
SISRS_contig-14355000004.fasta	CDS
SISRS_contig-3504000007.fasta	CDS
