Alignment_name	Locus_type
SISRS_contig-11236000012.fasta	intron
SISRS_contig-10433000006.fasta	intron
SISRS_contig-3778000002.fasta	intron
SISRS_contig-10962000005.fasta	intron
SISRS_contig-1579000019.fasta	intron
SISRS_contig-4957000014.fasta	intron
SISRS_contig-2991000018.fasta	intron
SISRS_contig-9816000018.fasta	intron
SISRS_contig-5132000009.fasta	intron
SISRS_contig-9460000013.fasta	intron
SISRS_contig-15758000009.fasta	intron
SISRS_contig-2466000001.fasta	intron
SISRS_contig-14942000002.fasta	intron
SISRS_contig-11769000006.fasta	intron
SISRS_contig-4588000010.fasta	intron
SISRS_contig-3347000018.fasta	intron
SISRS_contig-11615000004.fasta	intron
SISRS_contig-13954000019.fasta	intron
SISRS_contig-824000014.fasta	intron
SISRS_contig-5982000016.fasta	intron
SISRS_contig-12351000003.fasta	intron
SISRS_contig-10744000010.fasta	intron
SISRS_contig-9871000003.fasta	intron
SISRS_contig-7625000004.fasta	intron
SISRS_contig-8867000007.fasta	intron
SISRS_contig-9603000006.fasta	intron
SISRS_contig-8067000001.fasta	intron
SISRS_contig-10950000011.fasta	intron
SISRS_contig-17712000010.fasta	intron
SISRS_contig-1333000015.fasta	intron
SISRS_contig-9663000011.fasta	intron
SISRS_contig-4246000004.fasta	intron
SISRS_contig-5867000013.fasta	intron
SISRS_contig-16654000007.fasta	intron
SISRS_contig-8285000007.fasta	intron
SISRS_contig-7720000007.fasta	intron
SISRS_contig-3153000003.fasta	intron
SISRS_contig-13248000018.fasta	intron
SISRS_contig-1640000015.fasta	intron
SISRS_contig-8384000005.fasta	intron
SISRS_contig-3653000002.fasta	intron
SISRS_contig-2511000012.fasta	intron
SISRS_contig-16990000005.fasta	intron
SISRS_contig-7256000010.fasta	intron
SISRS_contig-11732000019.fasta	intron
SISRS_contig-12398000003.fasta	intron
SISRS_contig-16243000006.fasta	intron
SISRS_contig-17154000009.fasta	intron
SISRS_contig-17822000001.fasta	intron
SISRS_contig-16937000019.fasta	intron
SISRS_contig-1496000000.fasta	intron
SISRS_contig-5582000000.fasta	intron
SISRS_contig-16571000005.fasta	intron
SISRS_contig-10053000000.fasta	intron
SISRS_contig-16909000012.fasta	intron
SISRS_contig-5256000009.fasta	intron
SISRS_contig-8842000003.fasta	intron
SISRS_contig-11726000004.fasta	intron
SISRS_contig-10834000009.fasta	intron
SISRS_contig-17761000014.fasta	intron
SISRS_contig-10878000019.fasta	intron
SISRS_contig-4506000015.fasta	intron
SISRS_contig-12296000007.fasta	intron
SISRS_contig-17120000008.fasta	intron
SISRS_contig-4598000004.fasta	intron
SISRS_contig-16504000009.fasta	intron
SISRS_contig-7570000009.fasta	intron
SISRS_contig-6260000000.fasta	intron
SISRS_contig-11155000016.fasta	intron
SISRS_contig-18100000013.fasta	intron
SISRS_contig-12377000006.fasta	intron
SISRS_contig-13230000001.fasta	intron
SISRS_contig-10859000016.fasta	intron
SISRS_contig-13186000006.fasta	intron
SISRS_contig-1075000006.fasta	intron
SISRS_contig-4582000002.fasta	intron
SISRS_contig-16144000014.fasta	intron
SISRS_contig-11975000005.fasta	intron
SISRS_contig-1543000014.fasta	intron
SISRS_contig-1339000003.fasta	intron
SISRS_contig-15662000007.fasta	intron
SISRS_contig-15379000006.fasta	intron
SISRS_contig-2411000019.fasta	intron
SISRS_contig-17900000004.fasta	intron
SISRS_contig-14679000010.fasta	intron
SISRS_contig-13045000001.fasta	intron
SISRS_contig-6162000008.fasta	intron
SISRS_contig-2897000015.fasta	intron
SISRS_contig-11007000002.fasta	intron
SISRS_contig-5248000004.fasta	intron
SISRS_contig-1481000000.fasta	intron
SISRS_contig-1944000007.fasta	intron
SISRS_contig-7702000010.fasta	intron
SISRS_contig-13801000000.fasta	intron
SISRS_contig-12862000011.fasta	intron
SISRS_contig-15357000015.fasta	intron
SISRS_contig-7438000002.fasta	intron
SISRS_contig-14991000007.fasta	intron
SISRS_contig-4925000017.fasta	intron
SISRS_contig-4584000002.fasta	intron
SISRS_contig-15471000000.fasta	intron
SISRS_contig-14315000014.fasta	intron
SISRS_contig-16563000003.fasta	intron
SISRS_contig-1629000000.fasta	intron
SISRS_contig-5944000011.fasta	intron
SISRS_contig-14935000011.fasta	intron
SISRS_contig-14301000003.fasta	intron
SISRS_contig-17579000000.fasta	intron
SISRS_contig-8034000017.fasta	intron
SISRS_contig-1768000005.fasta	intron
SISRS_contig-16372000012.fasta	intron
SISRS_contig-14394000003.fasta	intron
SISRS_contig-17945000015.fasta	intron
SISRS_contig-5607000004.fasta	intron
SISRS_contig-926000009.fasta	intron
SISRS_contig-7461000016.fasta	intron
SISRS_contig-5278000014.fasta	intron
SISRS_contig-17653000019.fasta	intron
SISRS_contig-15191000015.fasta	intron
SISRS_contig-6375000012.fasta	intron
SISRS_contig-6143000017.fasta	intron
SISRS_contig-15514000001.fasta	intron
SISRS_contig-10573000003.fasta	intron
SISRS_contig-10448000015.fasta	intron
SISRS_contig-7007000006.fasta	intron
SISRS_contig-17429000006.fasta	intron
SISRS_contig-4259000019.fasta	intron
SISRS_contig-14096000017.fasta	intron
SISRS_contig-10579000000.fasta	intron
SISRS_contig-2189000005.fasta	intron
SISRS_contig-8290000009.fasta	intron
SISRS_contig-6158000013.fasta	intron
SISRS_contig-15111000006.fasta	intron
SISRS_contig-4587000015.fasta	intron
