Alignment_name	Locus_type
SISRS_contig-12050000009.fasta	lnc_RNA
SISRS_contig-12056000012.fasta	lnc_RNA
SISRS_contig-1748000001.fasta	lnc_RNA
SISRS_contig-2450000008.fasta	lnc_RNA
SISRS_contig-4694000017.fasta	lnc_RNA
SISRS_contig-12786000006.fasta	lnc_RNA
SISRS_contig-4594000009.fasta	lnc_RNA
SISRS_contig-10679000017.fasta	lnc_RNA
SISRS_contig-15328000018.fasta	lnc_RNA
SISRS_contig-13262000016.fasta	lnc_RNA
SISRS_contig-11422000001.fasta	lnc_RNA
SISRS_contig-11395000008.fasta	lnc_RNA
SISRS_contig-3408000006.fasta	lnc_RNA
SISRS_contig-13288000013.fasta	lnc_RNA
SISRS_contig-12138000002.fasta	lnc_RNA
SISRS_contig-17290000007.fasta	lnc_RNA
SISRS_contig-14931000009.fasta	lnc_RNA
SISRS_contig-659000010.fasta	lnc_RNA
SISRS_contig-5211000011.fasta	lnc_RNA
SISRS_contig-3116000004.fasta	lnc_RNA
SISRS_contig-934000006.fasta	lnc_RNA
SISRS_contig-1234000017.fasta	lnc_RNA
SISRS_contig-12688000017.fasta	lnc_RNA
SISRS_contig-12621000006.fasta	lnc_RNA
SISRS_contig-13113000011.fasta	lnc_RNA
SISRS_contig-15720000005.fasta	lnc_RNA
SISRS_contig-711000015.fasta	lnc_RNA
SISRS_contig-3747000003.fasta	lnc_RNA
SISRS_contig-3286000007.fasta	lnc_RNA
SISRS_contig-1707000015.fasta	lnc_RNA
SISRS_contig-14075000001.fasta	lnc_RNA
SISRS_contig-7768000002.fasta	lnc_RNA
SISRS_contig-15092000011.fasta	lnc_RNA
SISRS_contig-13770000013.fasta	lnc_RNA
SISRS_contig-14405000018.fasta	lnc_RNA
SISRS_contig-11525000005.fasta	lnc_RNA
SISRS_contig-11917000017.fasta	lnc_RNA
SISRS_contig-10256000017.fasta	lnc_RNA
SISRS_contig-13158000013.fasta	lnc_RNA
SISRS_contig-9844000012.fasta	lnc_RNA
SISRS_contig-13784000003.fasta	lnc_RNA
SISRS_contig-15903000011.fasta	lnc_RNA
SISRS_contig-13337000008.fasta	lnc_RNA
SISRS_contig-4867000009.fasta	lnc_RNA
SISRS_contig-8963000004.fasta	lnc_RNA
SISRS_contig-3176000006.fasta	lnc_RNA
SISRS_contig-14290000004.fasta	lnc_RNA
SISRS_contig-14186000008.fasta	lnc_RNA
SISRS_contig-8898000011.fasta	lnc_RNA
SISRS_contig-13430000008.fasta	lnc_RNA
SISRS_contig-3186000018.fasta	lnc_RNA
SISRS_contig-3604000011.fasta	lnc_RNA
SISRS_contig-5807000000.fasta	lnc_RNA
SISRS_contig-904000007.fasta	lnc_RNA
SISRS_contig-11600000008.fasta	lnc_RNA
SISRS_contig-13120000019.fasta	lnc_RNA
