Alignment_name	Locus_type
SISRS_contig-970000003.fasta	pseudogene
SISRS_contig-10869000008.fasta	pseudogene
SISRS_contig-15040000011.fasta	pseudogene
SISRS_contig-5402000016.fasta	pseudogene
SISRS_contig-17029000009.fasta	pseudogene
SISRS_contig-13000000013.fasta	pseudogene
SISRS_contig-611000007.fasta	pseudogene
SISRS_contig-8943000007.fasta	pseudogene
SISRS_contig-15037000003.fasta	pseudogene
SISRS_contig-4688000014.fasta	pseudogene
SISRS_contig-12516000003.fasta	pseudogene
SISRS_contig-4233000004.fasta	pseudogene
SISRS_contig-627000015.fasta	pseudogene
SISRS_contig-7681000002.fasta	pseudogene
SISRS_contig-5047000013.fasta	pseudogene
SISRS_contig-13329000008.fasta	pseudogene
SISRS_contig-2027000015.fasta	pseudogene
SISRS_contig-1485000014.fasta	pseudogene
SISRS_contig-15311000004.fasta	pseudogene
SISRS_contig-12893000000.fasta	pseudogene
SISRS_contig-1857000004.fasta	pseudogene
SISRS_contig-5400000013.fasta	pseudogene
SISRS_contig-14781000002.fasta	pseudogene
